run,round,delta_kappa,helped,n_words_added,n_codes_changed
label,1,-0.074900,0,-32,6
label,2,0.111600,1,27,6
label,3,-0.036700,0,-33,6
label,4,-0.004700,0,-16,5
label,5,-0.058100,0,15,5
reasoning,1,0.033700,1,-31,6
reasoning,2,0.015200,1,-5,6
reasoning,3,0.059600,1,-13,6
reasoning,4,-0.067800,0,9,6
reasoning,5,-0.063000,0,11,6
ambiguity,1,0.035100,1,45,4
ambiguity,2,-0.064100,0,42,5
all_three,1,-0.044900,0,-48,6
all_three,2,0.003900,1,40,6
all_three,3,-0.051800,0,-8,6
all_three,4,0.018100,1,-7,6
all_three,5,0.154800,1,-3,6
label_ambiguity,1,-0.037200,0,12,6
label_ambiguity,2,0.056300,1,-27,6
label_ambiguity,3,0.051300,1,-2,6
label_ambiguity,4,-0.133400,0,-14,6
label_ambiguity,5,-0.033200,0,-73,6
label_reasoning,1,-0.121300,0,-33,6
label_reasoning,2,0.073300,1,-1,5
label_reasoning,3,-0.044500,0,7,6
label_reasoning,4,0.092700,1,20,6
label_reasoning,5,-0.036500,0,-26,6
reasoning_ambiguity,1,-0.032100,0,-21,6
reasoning_ambiguity,2,-0.010200,0,-83,6
reasoning_ambiguity,3,0.082800,1,59,6
reasoning_ambiguity,4,-0.046800,0,45,6
reasoning_ambiguity,5,0.007600,1,-5,6
bare_all_three_seed42,1,0.081100,1,41,6
bare_all_three_seed42,2,0.057700,1,37,6
bare_all_three_seed42,3,-0.116500,0,10,6
bare_all_three_seed42,4,0.120100,1,2,6
bare_all_three_seed42,5,-0.082200,0,-21,6
bare_all_three_seed123,1,0.176700,1,71,6
bare_all_three_seed123,2,-0.036200,0,23,6
bare_all_three_seed123,3,0.019700,1,-31,6
bare_all_three_seed123,4,-0.071400,0,32,6
bare_all_three_seed123,5,-0.068000,0,-8,6
bare_all_three_seed7,1,0.055900,1,59,6
bare_all_three_seed7,2,-0.026100,0,24,5
bare_all_three_seed7,3,0.075100,1,0,6
bare_all_three_seed7,4,-0.038200,0,5,5
bare_all_three_seed7,5,0.117100,1,33,6
