run,round,delta_kappa,helped,n_words_added,cluster_id
label,1,-0.074900,0,-32,1
label,2,0.111600,1,27,2
label,3,-0.036700,0,-33,0
label,4,-0.004700,0,-16,1
label,5,-0.058100,0,15,1
reasoning,1,0.033700,1,-31,0
reasoning,2,0.015200,1,-5,1
reasoning,3,0.059600,1,-13,1
reasoning,4,-0.067800,0,9,1
reasoning,5,-0.063000,0,11,0
ambiguity,1,0.035100,1,45,2
ambiguity,2,-0.064100,0,42,2
all_three,1,-0.044900,0,-48,0
all_three,2,0.003900,1,40,1
all_three,3,-0.051800,0,-8,1
all_three,4,0.018100,1,-7,0
all_three,5,0.154800,1,-3,0
label_ambiguity,1,-0.037200,0,12,1
label_ambiguity,2,0.056300,1,-27,2
label_ambiguity,3,0.051300,1,-2,1
label_ambiguity,4,-0.133400,0,-14,0
label_ambiguity,5,-0.033200,0,-73,3
label_reasoning,1,-0.121300,0,-33,0
label_reasoning,2,0.073300,1,-1,1
label_reasoning,3,-0.044500,0,7,0
label_reasoning,4,0.092700,1,20,1
label_reasoning,5,-0.036500,0,-26,0
reasoning_ambiguity,1,-0.032100,0,-21,1
reasoning_ambiguity,2,-0.010200,0,-83,3
reasoning_ambiguity,3,0.082800,1,59,1
reasoning_ambiguity,4,-0.046800,0,45,1
reasoning_ambiguity,5,0.007600,1,-5,1
bare_all_three_seed42,1,0.081100,1,41,0
bare_all_three_seed42,2,0.057700,1,37,1
bare_all_three_seed42,3,-0.116500,0,10,0
bare_all_three_seed42,4,0.120100,1,2,1
bare_all_three_seed42,5,-0.082200,0,-21,0
bare_all_three_seed123,1,0.176700,1,71,1
bare_all_three_seed123,2,-0.036200,0,23,1
bare_all_three_seed123,3,0.019700,1,-31,0
bare_all_three_seed123,4,-0.071400,0,32,0
bare_all_three_seed123,5,-0.068000,0,-8,0
bare_all_three_seed7,1,0.055900,1,59,0
bare_all_three_seed7,2,-0.026100,0,24,1
bare_all_three_seed7,3,0.075100,1,0,0
bare_all_three_seed7,4,-0.038200,0,5,0
bare_all_three_seed7,5,0.117100,1,33,1
